Time,EMG1,EMG2,IO,EMG3,EMG4
0.0000,-1197.0000,-837.5000,-7.5000,-292.5000,-2891.5000
1.0000,-1191.0000,-814.5000,-7.5000,-280.5000,-2905.0000
2.0000,-1195.0000,-797.5000,-6.5000,-283.0000,-2918.5000
3.0000,-1205.5000,-799.0000,-6.0000,-289.0000,-2925.5000
4.0000,-1218.0000,-807.5000,-5.0000,-298.0000,-2921.0000
5.0000,-1231.5000,-812.0000,-4.0000,-305.5000,-2915.5000
6.0000,-1247.5000,-809.0000,-3.0000,-309.0000,-2909.0000
7.0000,-1273.0000,-809.0000,-2.5000,-316.5000,-2904.0000
8.0000,-1311.0000,-811.0000,-1.5000,-336.5000,-2902.5000
9.0000,-1336.0000,-806.0000,-0.5000,-352.0000,-2899.5000
10.0000,-1355.0000,-791.5000,0.0000,-364.0000,-2896.0000
11.0000,-1375.0000,-769.0000,0.0000,-371.0000,-2895.5000
12.0000,-1397.5000,-735.5000,0.5000,-370.5000,-2900.5000
13.0000,-1409.0000,-705.0000,1.0000,-368.0000,-2894.0000
14.0000,-1414.0000,-672.5000,1.5000,-370.5000,-2873.0000
15.0000,-1420.0000,-636.0000,1.5000,-371.5000,-2858.0000
16.0000,-1430.5000,-598.5000,1.0000,-373.5000,-2850.0000
17.0000,-1448.0000,-568.0000,1.0000,-378.0000,-2859.5000
18.0000,-1468.0000,-537.5000,0.0000,-381.5000,-2891.0000
19.0000,-1476.0000,-505.0000,0.0000,-379.0000,-2905.5000
20.0000,-1478.0000,-470.5000,-0.5000,-372.5000,-2906.0000
21.0000,-1496.0000,-457.5000,-1.0000,-383.0000,-2912.0000
22.0000,-1522.5000,-453.5000,-1.5000,-404.0000,-2922.5000
23.0000,-1535.0000,-445.5000,-2.0000,-414.0000,-2956.5000
24.0000,-1543.5000,-435.0000,-2.0000,-414.0000,-3018.5000
25.0000,-1562.0000,-438.0000,-2.5000,-417.5000,-3045.5000
26.0000,-1578.0000,-442.5000,-2.5000,-423.5000,-3042.5000
27.0000,-1565.5000,-433.5000,-2.5000,-423.0000,-3007.5000
28.0000,-1553.0000,-427.0000,-2.5000,-420.5000,-2956.0000
29.0000,-1579.5000,-455.0000,-2.0000,-428.5000,-2978.5000
30.0000,-1617.5000,-491.0000,-1.5000,-452.0000,-3064.0000
31.0000,-1643.5000,-505.0000,-1.0000,-470.0000,-3097.5000
32.0000,-1658.0000,-510.0000,-0.5000,-479.0000,-3091.0000
33.0000,-1663.5000,-517.5000,0.0000,-474.5000,-3043.0000
34.0000,-1666.5000,-523.0000,1.0000,-462.0000,-2970.5000
35.0000,-1671.0000,-509.5000,2.0000,-462.0000,-2939.0000
36.0000,-1674.0000,-493.5000,3.0000,-466.0000,-2925.0000
37.0000,-1666.5000,-481.0000,4.0000,-452.0000,-2910.0000
38.0000,-1657.5000,-474.5000,4.5000,-432.5000,-2887.0000
39.0000,-1652.5000,-474.0000,5.0000,-431.0000,-2856.0000
40.0000,-1650.0000,-475.5000,5.5000,-439.5000,-2822.0000
41.0000,-1643.0000,-471.0000,6.5000,-445.0000,-2810.5000
42.0000,-1641.0000,-474.0000,7.0000,-449.0000,-2811.0000
43.0000,-1647.5000,-492.0000,8.0000,-452.0000,-2830.5000
44.0000,-1653.0000,-502.0000,9.0000,-456.0000,-2852.0000
45.0000,-1654.5000,-483.5000,10.0000,-457.0000,-2825.5000
46.0000,-1650.0000,-458.5000,11.0000,-454.5000,-2777.0000
47.0000,-1639.5000,-427.0000,11.5000,-447.0000,-2724.5000
48.0000,-1631.0000,-405.5000,12.0000,-440.0000,-2680.5000
49.0000,-1628.5000,-401.0000,12.5000,-447.0000,-2673.0000
50.0000,-1627.5000,-396.0000,13.0000,-452.5000,-2674.5000
51.0000,-1620.5000,-380.0000,13.0000,-446.0000,-2646.5000
52.0000,-1608.5000,-362.0000,13.0000,-436.0000,-2615.0000
53.0000,-1590.5000,-341.5000,13.0000,-428.5000,-2588.5000
54.0000,-1574.5000,-328.0000,13.0000,-425.0000,-2575.5000
55.0000,-1557.0000,-324.0000,13.5000,-423.5000,-2587.5000
56.0000,-1538.0000,-314.5000,13.5000,-420.5000,-2600.5000
57.0000,-1518.5000,-298.0000,14.0000,-406.0000,-2588.5000
58.0000,-1511.0000,-293.0000,14.0000,-395.5000,-2569.0000
59.0000,-1514.0000,-302.0000,14.0000,-397.5000,-2544.5000
60.0000,-1513.5000,-309.0000,14.0000,-402.5000,-2515.5000
61.0000,-1496.5000,-304.0000,14.0000,-404.5000,-2471.5000
62.0000,-1482.0000,-300.0000,13.5000,-403.0000,-2422.5000
63.0000,-1472.5000,-301.0000,12.5000,-401.0000,-2368.5000
64.0000,-1453.0000,-286.0000,11.5000,-398.5000,-2320.0000
65.0000,-1421.0000,-248.5000,10.5000,-389.0000,-2274.0000
66.0000,-1389.5000,-217.5000,9.5000,-381.0000,-2238.0000
67.0000,-1356.5000,-186.5000,9.0000,-383.5000,-2220.0000
68.0000,-1330.0000,-157.0000,9.0000,-384.5000,-2203.5000
69.0000,-1301.5000,-119.0000,8.5000,-378.0000,-2184.0000
70.0000,-1266.0000,-81.5000,8.0000,-365.5000,-2162.0000
71.0000,-1220.0000,-35.0000,7.5000,-350.5000,-2146.0000
72.0000,-1176.5000,11.0000,7.0000,-336.0000,-2130.0000
73.0000,-1132.5000,59.5000,6.5000,-321.5000,-2106.5000
74.0000,-1094.0000,104.0000,6.5000,-310.0000,-2083.0000
75.0000,-1053.5000,148.5000,7.0000,-296.0000,-2043.5000
76.0000,-1029.5000,174.0000,7.5000,-293.5000,-2015.0000
77.0000,-1010.5000,192.0000,8.5000,-305.5000,-1990.0000
78.0000,-978.0000,222.0000,9.0000,-304.0000,-1967.5000
79.0000,-936.5000,260.0000,10.0000,-284.5000,-1938.5000
80.0000,-910.5000,284.0000,10.5000,-270.5000,-1915.0000
81.0000,-887.5000,299.5000,11.0000,-267.0000,-1890.5000
82.0000,-868.5000,308.0000,11.5000,-267.0000,-1869.0000
83.0000,-843.5000,315.0000,12.0000,-266.0000,-1841.5000
84.0000,-803.0000,332.0000,11.5000,-258.0000,-1808.0000
85.0000,-762.0000,345.5000,11.5000,-251.0000,-1772.5000
86.0000,-740.5000,340.0000,11.0000,-248.0000,-1741.0000
87.0000,-720.0000,330.5000,10.5000,-253.5000,-1713.5000
88.0000,-670.5000,338.0000,10.0000,-246.5000,-1671.0000
89.0000,-617.0000,349.5000,10.0000,-229.0000,-1612.0000
90.0000,-582.0000,344.5000,9.5000,-222.0000,-1581.0000
91.0000,-553.5000,336.5000,10.0000,-220.5000,-1570.0000
92.0000,-508.5000,344.0000,10.5000,-215.5000,-1551.0000
93.0000,-465.5000,355.5000,11.0000,-202.5000,-1520.5000
94.0000,-442.0000,355.5000,11.5000,-195.5000,-1502.0000
95.0000,-417.5000,354.5000,12.0000,-192.5000,-1487.0000
96.0000,-381.5000,365.5000,12.5000,-186.0000,-1463.0000
97.0000,-340.0000,378.5000,13.0000,-174.5000,-1427.0000
98.0000,-293.0000,390.5000,13.5000,-161.5000,-1389.0000
99.0000,-248.5000,401.0000,13.5000,-147.0000,-1345.5000
100.0000,-206.0000,405.0000,14.0000,-139.5000,-1305.0000
101.0000,-171.5000,400.5000,14.5000,-136.0000,-1266.5000
102.0000,-151.0000,373.5000,15.5000,-145.5000,-1234.0000
103.0000,-126.0000,355.5000,16.5000,-153.5000,-1195.0000
104.0000,-69.0000,368.5000,17.5000,-136.0000,-1136.0000
105.0000,-18.5000,375.0000,18.5000,-111.0000,-1063.0000
106.0000,21.5000,360.5000,19.0000,-111.0000,-1014.0000
107.0000,57.0000,346.5000,20.0000,-119.5000,-973.5000
108.0000,99.5000,343.0000,20.0000,-111.5000,-914.0000
109.0000,135.0000,337.0000,20.0000,-102.0000,-851.5000
110.0000,163.5000,323.0000,20.0000,-100.5000,-797.0000
111.0000,190.5000,309.5000,20.0000,-106.5000,-750.5000
112.0000,221.5000,289.5000,20.0000,-111.5000,-707.5000
113.0000,248.0000,272.0000,20.0000,-110.0000,-663.5000
114.0000,274.0000,256.5000,20.0000,-104.5000,-607.0000
115.0000,304.0000,250.0000,20.0000,-101.5000,-552.0000
116.0000,347.0000,255.5000,19.5000,-103.0000,-497.0000
117.0000,369.0000,251.5000,19.5000,-105.5000,-447.0000
118.0000,370.5000,234.0000,19.5000,-110.0000,-403.0000
119.0000,379.5000,217.5000,19.0000,-109.0000,-362.5000
120.0000,404.0000,202.5000,18.5000,-108.0000,-320.5000
121.0000,439.0000,204.0000,18.0000,-100.0000,-273.0000
122.0000,491.5000,221.5000,17.5000,-77.0000,-204.0000
123.0000,514.0000,222.5000,17.5000,-61.5000,-148.5000
124.0000,515.0000,210.5000,17.0000,-62.5000,-115.0000
125.0000,509.5000,198.0000,16.5000,-66.0000,-88.0000
126.0000,496.0000,186.0000,15.5000,-70.0000,-64.0000
127.0000,487.5000,178.0000,15.0000,-70.0000,-34.0000
128.0000,478.5000,170.0000,14.0000,-62.0000,6.0000
129.0000,477.5000,168.5000,13.5000,-60.0000,37.0000
130.0000,480.0000,173.5000,13.5000,-55.0000,71.5000
131.0000,471.0000,169.5000,13.0000,-54.0000,93.5000
132.0000,454.0000,156.5000,12.5000,-62.0000,107.0000
133.0000,439.5000,151.5000,12.0000,-65.0000,121.5000
134.0000,424.5000,152.0000,12.0000,-58.5000,145.5000
135.0000,408.0000,153.5000,11.5000,-55.0000,160.5000
136.0000,387.5000,152.0000,11.0000,-54.0000,166.5000
137.0000,364.0000,143.5000,11.0000,-55.0000,167.5000
138.0000,340.0000,131.0000,10.5000,-53.5000,171.0000
139.0000,333.0000,119.5000,10.5000,-50.5000,178.5000
140.0000,333.5000,106.5000,10.5000,-42.5000,198.0000
141.0000,325.0000,83.5000,10.5000,-48.5000,202.5000
142.0000,317.5000,56.0000,10.5000,-71.0000,191.5000
143.0000,334.5000,50.5000,10.5000,-67.5000,200.0000
144.0000,361.5000,56.5000,10.5000,-47.5000,225.5000
145.0000,377.0000,68.5000,10.5000,-38.0000,248.0000
146.0000,380.5000,76.0000,10.5000,-38.0000,265.5000
147.0000,372.0000,68.5000,10.5000,-43.0000,272.0000
148.0000,364.5000,56.0000,10.0000,-47.5000,273.0000
149.0000,372.0000,47.0000,9.5000,-45.0000,280.0000
150.0000,376.5000,36.5000,9.0000,-40.5000,291.0000
151.0000,360.0000,7.0000,8.0000,-44.0000,296.0000
152.0000,336.5000,-21.0000,7.5000,-52.5000,293.5000
153.0000,305.0000,-29.0000,7.0000,-52.5000,300.0000
154.0000,274.5000,-28.5000,6.0000,-48.5000,308.5000
155.0000,240.5000,-17.0000,5.5000,-45.0000,317.0000
156.0000,212.0000,-0.5000,4.5000,-43.0000,323.0000
157.0000,189.0000,19.5000,3.5000,-39.5000,331.0000
158.0000,168.5000,34.5000,3.5000,-34.5000,337.5000
159.0000,139.5000,23.5000,3.0000,-35.5000,332.5000
160.0000,118.0000,10.0000,3.0000,-40.5000,319.0000
161.0000,113.5000,1.5000,3.0000,-37.5000,310.5000
162.0000,108.5000,-6.5000,3.5000,-29.5000,305.5000
163.0000,97.5000,-16.5000,3.5000,-29.5000,293.5000
164.0000,88.5000,-28.0000,4.0000,-33.0000,280.5000
165.0000,85.5000,-47.0000,4.5000,-30.5000,280.5000
166.0000,85.5000,-64.0000,5.0000,-25.0000,286.5000
167.0000,95.5000,-72.5000,5.5000,-23.5000,292.0000
168.0000,99.5000,-84.0000,6.0000,-25.5000,292.5000
169.0000,94.0000,-109.5000,7.0000,-37.5000,283.0000
170.0000,95.0000,-134.5000,8.0000,-43.5000,275.5000
171.0000,119.5000,-154.5000,9.5000,-24.0000,297.5000
172.0000,142.0000,-167.0000,11.0000,-3.0000,325.0000
173.0000,163.5000,-172.5000,12.0000,-0.5000,333.5000
174.0000,177.5000,-179.0000,13.5000,-6.5000,333.5000
175.0000,184.5000,-192.0000,15.0000,-10.5000,323.0000
176.0000,191.0000,-203.0000,16.0000,-11.5000,314.0000
177.0000,195.5000,-216.5000,17.0000,-20.5000,303.5000
178.0000,193.0000,-239.0000,18.0000,-28.0000,293.5000
179.0000,182.0000,-274.0000,19.0000,-32.5000,287.5000
180.0000,173.0000,-280.5000,19.5000,-33.5000,288.5000
181.0000,166.0000,-252.0000,20.0000,-32.5000,298.5000
182.0000,160.0000,-236.0000,20.0000,-30.0000,307.5000
183.0000,153.5000,-239.0000,19.5000,-25.0000,314.5000
184.0000,152.5000,-236.0000,19.0000,-16.0000,319.5000
185.0000,155.0000,-226.0000,18.5000,-3.0000,326.0000
186.0000,133.5000,-226.5000,18.0000,0.0000,326.5000
187.0000,94.0000,-237.5000,18.0000,-16.0000,315.0000
188.0000,66.0000,-248.0000,17.5000,-24.5000,312.5000
189.0000,50.5000,-258.0000,17.0000,-22.0000,324.5000
190.0000,44.5000,-262.0000,16.5000,-18.0000,332.5000
191.0000,42.5000,-269.5000,16.0000,-21.5000,324.5000
192.0000,24.5000,-283.0000,16.0000,-28.0000,312.5000
193.0000,-8.0000,-304.5000,15.5000,-35.0000,302.5000
194.0000,-38.0000,-332.5000,15.5000,-48.0000,294.0000
195.0000,-67.0000,-365.5000,15.5000,-66.0000,287.5000
196.0000,-92.5000,-378.0000,15.5000,-82.0000,287.0000
197.0000,-119.0000,-383.0000,15.5000,-96.0000,294.0000
198.0000,-136.5000,-405.0000,15.5000,-107.5000,295.5000
199.0000,-152.0000,-435.0000,16.0000,-119.5000,288.0000
200.0000,-174.5000,-443.5000,16.0000,-123.0000,284.5000
201.0000,-200.0000,-438.5000,16.0000,-121.5000,287.0000
202.0000,-217.0000,-442.0000,15.5000,-116.0000,297.0000
203.0000,-240.5000,-454.0000,15.5000,-108.0000,313.0000
204.0000,-289.5000,-469.5000,16.0000,-116.5000,317.0000
205.0000,-345.0000,-480.5000,16.0000,-136.0000,312.5000
206.0000,-379.0000,-485.5000,16.5000,-142.0000,311.5000
207.0000,-405.0000,-486.5000,17.0000,-136.5000,316.5000
208.0000,-435.5000,-489.0000,17.5000,-139.0000,318.0000
209.0000,-467.5000,-491.5000,18.0000,-145.0000,315.0000
210.0000,-503.0000,-498.0000,18.5000,-154.5000,305.5000
211.0000,-544.5000,-510.0000,18.5000,-167.0000,292.5000
212.0000,-608.0000,-541.0000,18.0000,-184.0000,274.5000
213.0000,-659.5000,-567.5000,17.0000,-202.0000,256.0000
214.0000,-674.5000,-564.0000,15.5000,-194.5000,260.5000
215.0000,-677.5000,-555.0000,14.0000,-171.0000,276.0000
216.0000,-676.0000,-542.5000,11.5000,-152.0000,288.0000
217.0000,-686.5000,-541.5000,10.0000,-141.5000,292.0000
218.0000,-730.5000,-564.5000,8.5000,-162.0000,273.0000
219.0000,-769.5000,-587.0000,7.5000,-193.5000,244.0000
220.0000,-796.0000,-599.5000,6.5000,-198.5000,230.5000
221.0000,-814.5000,-603.5000,6.0000,-190.5000,223.5000
222.0000,-820.5000,-588.0000,5.5000,-178.5000,230.0000
223.0000,-837.0000,-581.5000,5.5000,-169.0000,237.5000
224.0000,-875.0000,-597.5000,5.5000,-179.0000,217.0000
225.0000,-917.5000,-617.5000,5.5000,-197.5000,182.5000
226.0000,-966.5000,-636.5000,5.5000,-212.5000,146.5000
227.0000,-1003.5000,-641.5000,5.0000,-225.0000,114.0000
228.0000,-1022.5000,-625.5000,5.0000,-219.0000,100.0000
229.0000,-1034.5000,-608.0000,4.0000,-208.0000,92.5000
230.0000,-1049.0000,-597.0000,3.0000,-204.5000,78.5000
231.0000,-1071.0000,-598.5000,1.5000,-209.5000,59.5000
232.0000,-1111.5000,-618.5000,0.0000,-236.0000,23.0000
233.0000,-1136.5000,-628.5000,-2.5000,-256.0000,-11.5000
234.0000,-1141.0000,-621.5000,-4.5000,-250.0000,-30.0000
235.0000,-1140.0000,-611.0000,-6.5000,-240.0000,-42.5000
236.0000,-1143.0000,-610.0000,-8.5000,-237.0000,-59.0000
237.0000,-1148.0000,-611.0000,-10.5000,-235.5000,-75.0000
238.0000,-1155.5000,-606.5000,-12.0000,-234.5000,-98.5000
239.0000,-1168.0000,-609.0000,-13.0000,-239.5000,-124.5000
240.0000,-1189.5000,-613.5000,-14.0000,-252.0000,-154.5000
241.0000,-1207.5000,-618.0000,-14.5000,-261.5000,-181.5000
242.0000,-1223.0000,-622.0000,-15.0000,-263.5000,-205.0000
243.0000,-1243.0000,-624.5000,-16.0000,-263.0000,-227.5000
244.0000,-1266.5000,-625.5000,-16.5000,-267.0000,-261.0000
245.0000,-1283.5000,-624.5000,-17.0000,-272.0000,-291.0000
246.0000,-1296.5000,-623.5000,-17.5000,-279.5000,-322.0000
247.0000,-1299.5000,-623.0000,-18.0000,-282.0000,-344.5000
248.0000,-1296.5000,-623.5000,-19.0000,-276.5000,-357.0000
249.0000,-1300.0000,-635.5000,-19.5000,-278.5000,-376.0000
250.0000,-1307.0000,-654.0000,-20.0000,-289.0000,-405.5000
251.0000,-1311.5000,-655.5000,-20.0000,-296.5000,-427.5000
252.0000,-1313.5000,-641.5000,-20.5000,-294.0000,-443.0000
253.0000,-1320.0000,-640.0000,-20.5000,-292.0000,-457.0000
254.0000,-1330.5000,-648.5000,-20.5000,-300.0000,-477.0000
255.0000,-1331.5000,-655.0000,-21.0000,-304.5000,-497.0000
256.0000,-1330.0000,-662.0000,-21.0000,-301.5000,-515.0000
257.0000,-1329.0000,-667.5000,-21.5000,-300.0000,-527.5000
258.0000,-1326.5000,-672.0000,-22.0000,-298.0000,-540.5000
259.0000,-1309.0000,-670.0000,-22.0000,-294.0000,-544.5000
260.0000,-1286.5000,-665.5000,-22.5000,-284.0000,-540.0000
261.0000,-1269.0000,-664.5000,-23.0000,-278.5000,-544.5000
262.0000,-1262.0000,-669.0000,-23.5000,-279.0000,-559.0000
263.0000,-1269.0000,-688.5000,-23.5000,-288.0000,-580.0000
264.0000,-1284.5000,-714.0000,-24.0000,-304.5000,-611.0000
265.0000,-1296.5000,-728.5000,-24.0000,-312.0000,-631.5000
266.0000,-1305.0000,-737.0000,-24.0000,-314.5000,-647.0000
267.0000,-1294.0000,-733.0000,-24.0000,-306.0000,-652.0000
268.0000,-1280.5000,-723.0000,-23.5000,-290.0000,-646.5000
269.0000,-1271.0000,-714.5000,-23.0000,-281.5000,-648.0000
270.0000,-1263.0000,-707.5000,-22.5000,-278.0000,-654.5000
271.0000,-1272.5000,-714.0000,-21.5000,-286.0000,-674.0000
272.0000,-1282.0000,-723.0000,-20.5000,-303.5000,-704.5000
273.0000,-1263.5000,-719.0000,-19.5000,-306.5000,-718.5000
274.0000,-1234.0000,-709.5000,-18.5000,-301.5000,-725.0000
275.0000,-1201.0000,-695.5000,-17.5000,-295.5000,-728.0000
276.0000,-1169.5000,-682.0000,-16.0000,-289.5000,-729.0000
277.0000,-1133.5000,-671.0000,-15.0000,-279.0000,-730.0000
278.0000,-1099.0000,-663.5000,-14.5000,-269.5000,-732.5000
279.0000,-1065.0000,-659.5000,-13.5000,-267.0000,-739.0000
280.0000,-1039.5000,-659.0000,-13.0000,-265.5000,-746.5000
281.0000,-1026.0000,-660.5000,-13.0000,-273.0000,-759.0000
282.0000,-1010.5000,-656.5000,-12.5000,-280.0000,-773.0000
283.0000,-982.0000,-641.5000,-12.5000,-267.0000,-770.5000
284.0000,-945.5000,-621.0000,-12.5000,-243.5000,-763.0000
285.0000,-887.5000,-586.5000,-12.5000,-217.5000,-749.5000
286.0000,-838.0000,-553.5000,-12.5000,-192.0000,-732.5000
287.0000,-798.5000,-531.5000,-12.0000,-180.5000,-723.5000
288.0000,-764.5000,-507.0000,-12.0000,-170.0000,-714.5000
289.0000,-730.0000,-474.5000,-11.5000,-149.5000,-703.0000
290.0000,-699.0000,-448.5000,-11.5000,-124.0000,-691.5000
291.0000,-663.0000,-429.5000,-11.5000,-89.0000,-689.0000
292.0000,-630.5000,-413.0000,-11.0000,-58.0000,-687.0000
293.0000,-595.5000,-393.5000,-10.5000,-40.5000,-678.0000
294.0000,-569.5000,-379.5000,-10.0000,-28.0000,-669.5000
295.0000,-539.5000,-367.5000,-9.5000,-7.0000,-660.0000
296.0000,-520.5000,-359.5000,-9.0000,18.5000,-653.0000
297.0000,-514.0000,-357.0000,-8.5000,52.0000,-654.5000
298.0000,-492.5000,-346.5000,-8.0000,85.5000,-652.5000
299.0000,-448.0000,-325.5000,-7.5000,124.5000,-639.0000
300.0000,-409.5000,-301.5000,-7.5000,168.0000,-620.0000
301.0000,-372.5000,-270.5000,-7.5000,226.5000,-597.0000
302.0000,-345.0000,-245.0000,-7.0000,292.5000,-582.5000
303.0000,-319.0000,-221.0000,-7.0000,389.0000,-579.0000
304.0000,-327.0000,-222.5000,-6.5000,467.0000,-590.0000
305.0000,-370.5000,-246.5000,-6.5000,522.5000,-631.5000
306.0000,-424.5000,-294.5000,-6.5000,556.0000,-690.0000
307.0000,-496.5000,-370.0000,-6.5000,565.0000,-798.0000
308.0000,-589.5000,-468.5000,-6.5000,552.5000,-908.5000
309.0000,-709.5000,-596.5000,-7.0000,511.5000,-1044.5000
310.0000,-781.0000,-672.0000,-7.0000,453.5000,-1145.0000
311.0000,-831.0000,-721.0000,-7.5000,350.5000,-1219.0000
312.0000,-881.5000,-772.0000,-7.5000,256.5000,-1287.5000
313.0000,-941.0000,-839.0000,-8.0000,149.0000,-1370.0000
314.0000,-988.5000,-894.0000,-8.5000,64.0000,-1440.0000
315.0000,-1038.0000,-947.5000,-9.0000,-22.5000,-1508.5000
316.0000,-1098.5000,-1001.0000,-9.5000,-102.5000,-1576.5000
317.0000,-1170.5000,-1062.5000,-10.0000,-207.5000,-1668.5000
318.0000,-1242.0000,-1132.0000,-11.0000,-311.5000,-1753.0000
319.0000,-1316.5000,-1206.0000,-11.5000,-441.5000,-1844.0000
320.0000,-1372.5000,-1251.0000,-12.0000,-576.5000,-1906.5000
321.0000,-1415.0000,-1276.0000,-12.5000,-742.5000,-1951.0000
322.0000,-1422.0000,-1268.0000,-13.5000,-847.0000,-1968.0000
323.0000,-1412.0000,-1245.0000,-14.5000,-906.0000,-1962.0000
324.0000,-1419.5000,-1247.0000,-15.5000,-977.0000,-1973.0000
325.0000,-1430.0000,-1259.0000,-16.5000,-1071.0000,-1999.5000
326.0000,-1445.5000,-1265.5000,-17.5000,-1128.5000,-2029.5000
327.0000,-1469.0000,-1271.0000,-18.5000,-1163.0000,-2069.0000
328.0000,-1520.0000,-1298.5000,-19.0000,-1203.5000,-2115.5000
329.0000,-1572.0000,-1327.0000,-19.5000,-1254.0000,-2176.5000
330.0000,-1587.0000,-1335.0000,-19.5000,-1283.5000,-2206.0000
331.0000,-1579.5000,-1324.5000,-19.5000,-1299.5000,-2219.5000
332.0000,-1519.0000,-1271.0000,-19.0000,-1260.0000,-2189.0000
333.0000,-1450.5000,-1209.5000,-18.0000,-1184.5000,-2134.5000
334.0000,-1374.5000,-1142.0000,-16.5000,-1112.5000,-2088.5000
335.0000,-1303.5000,-1077.0000,-15.0000,-1038.5000,-2047.0000
336.0000,-1224.0000,-1004.5000,-13.5000,-945.0000,-2005.0000
337.0000,-1167.0000,-948.0000,-12.0000,-839.5000,-1966.5000
338.0000,-1146.0000,-928.0000,-11.0000,-765.0000,-1960.5000
339.0000,-1132.0000,-918.0000,-11.0000,-706.5000,-1972.0000
340.0000,-1106.5000,-896.5000,-10.5000,-660.5000,-1973.5000
341.0000,-1078.5000,-873.5000,-11.0000,-624.0000,-1966.5000
342.0000,-1039.0000,-842.0000,-11.0000,-593.5000,-1960.5000
343.0000,-998.0000,-810.0000,-11.5000,-562.5000,-1950.0000
344.0000,-947.5000,-769.0000,-11.5000,-522.5000,-1938.0000
345.0000,-898.0000,-724.0000,-12.0000,-480.5000,-1922.5000
346.0000,-855.0000,-679.5000,-12.0000,-449.5000,-1909.5000
347.0000,-816.5000,-636.5000,-13.0000,-421.5000,-1895.0000
348.0000,-779.0000,-593.0000,-13.5000,-393.0000,-1870.5000
349.0000,-748.5000,-558.5000,-14.0000,-366.5000,-1846.5000
350.0000,-734.0000,-535.5000,-14.5000,-349.0000,-1852.5000
351.0000,-730.5000,-512.5000,-15.0000,-332.5000,-1862.5000
352.0000,-740.5000,-479.5000,-15.0000,-306.5000,-1842.0000
353.0000,-734.5000,-454.0000,-15.5000,-276.5000,-1819.0000
354.0000,-708.0000,-439.5000,-15.5000,-249.0000,-1815.0000
355.0000,-691.5000,-433.5000,-15.5000,-227.5000,-1821.5000
356.0000,-688.0000,-439.5000,-15.5000,-216.0000,-1833.0000
357.0000,-698.0000,-448.0000,-15.0000,-210.5000,-1849.5000
358.0000,-719.5000,-458.5000,-15.0000,-208.5000,-1877.0000
359.0000,-742.0000,-459.5000,-14.5000,-209.0000,-1908.5000
360.0000,-763.0000,-445.0000,-14.0000,-206.5000,-1942.5000
361.0000,-790.5000,-442.5000,-13.5000,-214.0000,-1984.5000
362.0000,-826.0000,-450.0000,-13.0000,-241.0000,-2036.0000
363.0000,-831.5000,-453.5000,-13.0000,-261.5000,-2071.0000
364.0000,-803.5000,-443.5000,-13.0000,-257.5000,-2068.5000
365.0000,-770.0000,-432.0000,-13.0000,-251.0000,-2050.0000
