,TIME,FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,P7,P8,Fz,Cz,Pz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6
1,09:30:25.160,-1.5991,1.8203,15.9083,11.259,8.2118,4.5402,6.6433,-0.4837,0.9125,-14.3689,7.1672,3.1479,1.7768,6.3485,13.611,11.2116,4.873,11.4978,7.7836,9.2932,1.6833,5.6732,1.45,6.034,0.1122
3,09:30:25.162,0.9828,7.126,13.3027,4.8078,6.3692,2.879,5.4338,-1.4267,2.3566,-13.8896,5.9341,2.9305,7.4312,8.7822,11.3605,10.0911,4.1695,9.6497,5.2622,7.8734,0.552,3.0781,0.9486,3.213,-2.7544
5,09:30:25.164,4.7597,12.1995,8.2413,-3.8244,3.5234,0.1682,3.5063,-3.0509,3.2806,-14.2554,3.5263,2.2607,13.0815,9.8643,7.1098,7.8462,2.4826,6.3002,1.4146,5.4577,-1.5263,-0.9017,0.2088,-0.3185,-5.6658
7,09:30:25.166,8.8319,14.7947,1.2525,-12.5889,-0.1383,-3.2011,0.7113,-5.6096,2.4742,-16.4237,0.4649,1.2776,16.0441,7.5879,1.3915,4.5655,-0.3969,1.7657,-3.0802,2.2163,-4.4569,-5.6432,-0.3389,-3.9623,-7.9287
9,09:30:25.168,12.1687,14.3201,-6.2618,-19.7175,-4.0132,-6.4936,-2.6915,-8.894,-0.3681,-20.3432,-2.3667,0.2538,15.3228,2.2431,-4.5505,0.875,-4.0248,-3.0902,-7.3607,-1.2752,-7.6815,-10.1964,-0.7626,-7.0667,-9.395
11,09:30:25.170,14.4594,12.1387,-12.9445,-24.6362,-7.3191,-9.0191,-5.9855,-12.0234,-4.0408,-24.5783,-4.5242,-0.7103,12.6114,-3.1467,-9.5538,-2.3637,-7.413,-7.3316,-10.8185,-4.2775,-10.4349,-13.8149,-1.4703,-9.2401,-10.1791
13,09:30:25.172,16.4683,10.2042,-18.2992,-27.8715,-9.5649,-10.4741,-8.424,-13.9313,-6.5843,-27.2513,-6.3599,-1.7758,10.9948,-5.1497,-13.2277,-4.5654,-9.668,-10.4862,-13.2522,-6.3098,-12.1999,-16.3223,-2.4204,-10.5847,-10.3216
15,09:30:25.174,19.3161,9.4516,-22.5344,-30.0525,-10.7473,-10.9185,-9.6972,-14.1618,-6.8338,-27.5085,-8.389,-3.0279,12.3145,-2.9302,-15.8371,-5.64,-10.5462,-12.5963,-14.6391,-7.3311,-12.9094,-17.9073,-2.742,-11.4818,-9.8166
17,09:30:25.176,23.1945,9.4828,-25.5683,-30.8668,-10.982,-10.4059,-9.8843,-13.0846,-5.2305,-25.9871,-10.2764,-4.0286,15.5516,1.2404,-17.4902,-5.6805,-10.3201,-13.6979,-14.7744,-7.4439,-12.6665,-18.4935,-1.3991,-11.9547,-8.7544
19,09:30:25.178,26.8358,9.6148,-26.3487,-28.9502,-9.9694,-8.6532,-8.9512,-11.1976,-3.0426,-23.7391,-10.6679,-3.829,17.7567,4.6737,-17.5298,-4.482,-9.1057,-13.311,-13.1636,-6.4333,-11.2992,-17.3887,1.7782,-11.2501,-7.1259
21,09:30:25.180,28.4902,9.9577,-23.4308,-22.9653,-7.0183,-5.141,-6.4775,-8.2977,-0.8608,-20.8162,-8.277,-1.608,16.7013,7.2802,-14.8947,-1.5138,-6.4716,-10.6201,-9.3291,-3.7363,-8.311,-13.7655,5.9149,-8.2867,-4.4411
23,09:30:25.182,27.5438,11.3568,-16.4064,-13.0355,-1.7989,0.3534,-2.1001,-3.6282,1.924,-16.2449,-3.18,2.5864,12.8007,11.4234,-9.1914,3.4873,-1.9081,-5.3168,-3.316,0.9707,-3.4117,-7.6508,9.9788,-2.7534,0.1052
25,09:30:25.184,25.0429,14.4304,-6.7295,-1.2252,4.8982,7.2285,3.7111,2.9199,6.0296,-9.6323,3.1089,7.7179,8.5847,18.5053,-1.3926,9.8548,4.2415,1.7197,4.0227,7.0927,2.8378,-0.4192,13.6473,4.2125,6.6565
27,09:30:25.186,22.4694,18.8875,3.0205,9.513,11.2982,14.0479,9.4648,9.8271,10.8033,-2.6802,8.9369,12.426,6.3385,26.0155,6.605,16.0138,10.4235,8.6876,11.2348,13.1028,8.9576,5.8782,17.1327,10.5934,13.7875
29,09:30:25.188,20.1158,23.7938,10.8098,17.1128,15.722,19.1749,13.4538,14.5082,14.1331,1.3207,13.7992,15.8866,6.1989,28.6808,13.1799,20.3241,14.6543,13.9468,16.8834,17.3624,13.2679,9.8724,20.3302,14.8841,18.9328
31,09:30:25.190,17.0119,28.2712,16.1717,21.3513,17.6602,21.6544,14.903,15.224,14.0749,-0.048,18.2262,18.1322,6.3981,23.1036,17.8063,22.0692,15.8613,16.9556,20.1817,19.1256,14.8832,11.6927,22.5521,16.9706,20.2165
