,TIME,EMG1,EMG2,IO,EMG3,EMG4
1,09:30:25.160,-1191.0,-814.5,-7.5,-280.5,-2905.0
3,09:30:25.162,-1205.5,-799.0,-6.0,-289.0,-2925.5
5,09:30:25.164,-1231.5,-812.0,-4.0,-305.5,-2915.5
7,09:30:25.166,-1273.0,-809.0,-2.5,-316.5,-2904.0
9,09:30:25.168,-1336.0,-806.0,-0.5,-352.0,-2899.5
11,09:30:25.170,-1375.0,-769.0,0.0,-371.0,-2895.5
13,09:30:25.172,-1409.0,-705.0,1.0,-368.0,-2894.0
15,09:30:25.174,-1420.0,-636.0,1.5,-371.5,-2858.0
17,09:30:25.176,-1448.0,-568.0,1.0,-378.0,-2859.5
19,09:30:25.178,-1476.0,-505.0,0.0,-379.0,-2905.5
21,09:30:25.180,-1496.0,-457.5,-1.0,-383.0,-2912.0
23,09:30:25.182,-1535.0,-445.5,-2.0,-414.0,-2956.5
25,09:30:25.184,-1562.0,-438.0,-2.5,-417.5,-3045.5
27,09:30:25.186,-1565.5,-433.5,-2.5,-423.0,-3007.5
29,09:30:25.188,-1579.5,-455.0,-2.0,-428.5,-2978.5
31,09:30:25.190,-1643.5,-505.0,-1.0,-470.0,-3097.5
33,09:30:25.192,-1663.5,-517.5,0.0,-474.5,-3043.0
35,09:30:25.194,-1671.0,-509.5,2.0,-462.0,-2939.0
37,09:30:25.196,-1666.5,-481.0,4.0,-452.0,-2910.0
39,09:30:25.198,-1652.5,-474.0,5.0,-431.0,-2856.0
41,09:30:25.200,-1643.0,-471.0,6.5,-445.0,-2810.5
43,09:30:25.202,-1647.5,-492.0,8.0,-452.0,-2830.5
45,09:30:25.204,-1654.5,-483.5,10.0,-457.0,-2825.5
47,09:30:25.206,-1639.5,-427.0,11.5,-447.0,-2724.5
49,09:30:25.208,-1628.5,-401.0,12.5,-447.0,-2673.0
51,09:30:25.210,-1620.5,-380.0,13.0,-446.0,-2646.5
53,09:30:25.212,-1590.5,-341.5,13.0,-428.5,-2588.5
55,09:30:25.214,-1557.0,-324.0,13.5,-423.5,-2587.5
