,TIME,FP1,FP2,F3,F4,C3,C4,P3,P4,O1,O2,F7,F8,P7,P8,Fz,Cz,Pz,FC1,FC2,CP1,CP2,FC5,FC6,CP5,CP6,EMG1,EMG2,IO,EMG3,EMG4,LShankACCX,LShankACCY,LShankACCZ,LShankGYROX,LShankGYROY,LShankGYROZ,NC,RShankACCX,RShankACCY,RShankACCZ,RShankGYROX,RShankGYROY,RShankGYROZ,NC,WaistACCX,WaistACCY,WaistACCZ,WaistGYROX,WaistGYROY,WaistGYROZ,NC,ArmACCX,ArmACCY,ArmACCZ,ArmGYROX,ArmGYROY,ArmGYROZ,SC
0,09:30:34,23.0012,20.4092,29.4948,34.8449,27.6257,24.0548,30.656,31.9634,52.8235,22.4179,20.2169,23.2926,27.051,29.752,26.5079,33.8038,42.5598,27.5946,56.2375,26.4416,43.1291,23.3471,27.6655,27.8509,36.5859,3509.5,-2176.5,-22.5,-1180.5,-3832.0,7738.0,-782.0,-3465.0,-115.0,-10.000000000000002,-3.0,76.99999999999999,7738.0,-782.0,-3465.0,-115.0,-10.000000000000002,-3.0,76.99999999999999,-645.0,5326.000000000001,5984.0,44.0,64.0,9.0,1624.0000000000002,-645.0,5326.000000000001,5984.0,44.0,64.0,9.0,1624.0000000000002
1,09:30:34.002,26.6947,23.1909,32.2155,38.6279,30.2613,27.4437,33.0281,33.9178,53.082,22.6293,25.4072,27.3037,28.2002,30.6278,30.452,36.5842,44.9622,31.1582,62.3629,28.5056,46.6691,27.5373,30.3328,30.9926,37.9339,3495.0,-2056.5,-22.0,-1565.5,-3813.0,7734.641596969577,-779.2757909925812,-3463.626077957871,-115.23068000933807,-9.60033622683169,-2.56585134068009,76.99999999999999,7734.641596969577,-779.2757909925812,-3463.626077957871,-115.23068000933807,-9.60033622683169,-2.56585134068009,76.99999999999999,-650.0425927939449,5330.363736295985,5973.857166960024,44.19405616858579,63.89642845747717,8.38654619039334,1624.206872769273,-650.0425927939449,5330.363736295985,5973.857166960024,44.19405616858579,63.89642845747717,8.38654619039334,1624.206872769273
2,09:30:34.004,28.5676,24.913,34.0392,41.3227,31.8886,29.8637,34.4277,35.4297,52.6578,23.9481,28.7481,29.8883,28.9654,30.361,33.2225,38.7048,46.3532,33.7261,67.1644,29.6315,49.2546,30.9147,31.5661,32.3067,39.5721,3473.0,-1782.0,-22.5,-1532.5,-3805.0,7733.396321693921,-776.1069986250076,-3462.10287985857,-115.27597217597666,-8.878957997026424,-2.107891242607973,77.0,7733.396321693921,-776.1069986250076,-3462.10287985857,-115.27597217597666,-8.878957997026424,-2.107891242607973,77.0,-656.5249380954172,5337.339262061363,5961.169992877089,44.58789865387494,63.677672935272255,7.824043687479065,1624.46771401572,-656.5249380954172,5337.339262061363,5961.169992877089,44.58789865387494,63.677672935272255,7.824043687479065,1624.46771401572
3,09:30:34.006,26.6439,23.186,32.5404,40.5585,30.2223,29.122,32.3996,34.0969,49.0358,23.2891,28.0157,28.7229,27.6985,26.4799,32.5191,37.7862,44.1256,32.8772,68.0785,27.5455,48.4839,31.2163,29.3594,29.5775,38.8563,3454.5,-1323.5,-24.0,-1260.0,-3803.5,7733.530247933476,-773.0003107611448,-3460.566642780333,-115.20592433794629,-8.057411653805758,-1.6670054741960254,77.00000000000001,7733.530247933476,-773.0003107611448,-3460.566642780333,-115.20592433794629,-8.057411653805758,-1.6670054741960254,77.00000000000001,-663.1859869999139,5345.632919678744,5948.154235314147,45.08471305487094,63.41070318432892,7.368268089368346,1624.72511887753,-663.1859869999139,5345.632919678744,5948.154235314147,45.08471305487094,63.41070318432892,7.368268089368346,1624.72511887753
4,09:30:34.008,20.4778,17.05,26.8233,35.4699,24.3077,24.3542,26.0274,28.7701,41.2968,19.0305,22.7467,23.2324,23.249,18.4075,27.5023,32.8571,37.2842,27.652,64.163,21.4035,43.3104,27.2595,23.3541,22.2079,34.1426,3440.0,-1093.5,-25.0,-1179.5,-3804.0,7734.309449448687,-770.4624152648533,-3459.1536038013974,-115.09058433327722,-7.357243540389744,-1.2840798038558603,76.99999999999999,7734.309449448687,-770.4624152648533,-3459.1536038013974,-115.09058433327722,-7.357243540389744,-1.2840798038558603,76.99999999999999,-668.7646906029429,5353.951051530753,5937.02565183413,45.58768497057818,63.16248895559026,7.074994994171584,1624.9216824928933,-668.7646906029429,5353.951051530753,5937.02565183413,45.58768497057818,63.16248895559026,7.074994994171584,1624.9216824928933
5,09:30:34.010,12.3434,8.5579,18.9184,28.0509,16.0788,17.2759,17.4364,21.104,31.4544,12.7116,15.2876,15.5894,17.0606,8.4207,20.0737,25.7752,27.9126,20.0271,57.2818,13.2447,35.469,20.5315,15.5926,12.8009,26.5896,3433.0,-1035.5,-26.0,-1316.0,-3804.5,7734.999999999998,-769.0,-3457.9999999999995,-115.0,-7.0,-1.0,76.99999999999999,7734.999999999998,-769.0,-3457.9999999999995,-115.0,-7.0,-1.0,76.99999999999999,-672.0,5361.0,5930.0,46.0,63.0,6.999999999999999,1624.9999999999995,-672.0,5361.0,5930.0,46.0,63.0,6.999999999999999,1624.9999999999995
6,09:30:34.012,5.8715,1.5495,12.4195,21.8087,9.1722,10.9529,10.3784,14.2571,23.0622,7.3717,9.2688,9.1335,12.6694,-0.3595,13.608,19.8868,19.6496,13.594,50.6781,6.6251,28.2052,14.3414,9.1833,5.6883,18.9857,3433.5,-715.0,-26.0,-1357.0,-3801.0,7735.096488788548,-768.9313192113867,-3457.2669340032203,-114.98525847426046,-7.1423331926076825,-0.8437055040609832,76.99999999999999,7735.096488788548,-768.9313192113867,-3457.2669340032203,-114.98525847426046,-7.1423331926076825,-0.8437055040609832,76.99999999999999,-672.0317549086836,5365.75867566914,5928.565299532927,46.25433799959699,62.967667063683024,7.176247965137212,1624.921796731052,-672.0317549086836,5365.75867566914,5928.565299532927,46.25433799959699,62.967667063683024,7.176247965137212,1624.921796731052
7,09:30:34.014,3.1513,-1.5257,9.4956,18.8281,5.8973,7.229,7.1063,10.1185,18.4521,4.8511,6.6116,5.597,12.6056,-6.3546,10.1518,17.1276,14.6126,10.5295,46.2284,3.5917,23.5212,11.0355,5.9586,3.4342,13.1558,3302.0,-61.0,-26.5,-1340.0,-3793.5,7735.007566778232,-769.8208926675776,-3457.214970633523,-115.02160408466692,-7.681318545187065,-0.7963504495548714,77.0,7735.007566778232,-769.8208926675776,-3457.214970633523,-115.02160408466692,-7.681318545187065,-0.7963504495548714,77.0,-669.6033495349611,5368.296261920924,5931.298618787035,46.40135585565405,63.01976487349117,7.545460788558207,1624.725318794308,-669.6033495349611,5368.296261920924,5931.298618787035,46.40135585565405,63.01976487349117,7.545460788558207,1624.725318794308
8,09:30:34.016,3.1621,-1.5679,9.2676,18.2378,5.4299,5.512,6.7182,8.0852,17.3403,5.0671,6.031,3.9639,15.7818,-9.722,8.9114,16.5979,11.9561,9.939,43.2093,3.122,20.8562,10.0205,5.3423,4.8211,9.0417,2547.0,622.5,-28.0,-1353.0,-3779.0,7735.370400373644,-771.0448065180742,-3458.129540262216,-115.0653204579431,-8.449137301462208,-0.8271426430182448,77.00000000000001,7735.370400373644,-771.0448065180742,-3458.129540262216,-115.0653204579431,-8.449137301462208,-0.8271426430182448,77.00000000000001,-665.859066706899,5368.954510338138,5936.049288274679,46.5212047119126,63.08802915145775,8.026549629410354,1624.4679424920373,-665.859066706899,5368.954510338138,5936.049288274679,46.5212047119126,63.08802915145775,8.026549629410354,1624.4679424920373
9,09:30:34.018,3.1748,-1.5007,9.1762,17.6586,5.1132,4.1325,6.626,6.5489,17.946,7.4072,4.6935,2.1287,18.2967,-10.8758,7.5956,16.0753,9.4423,9.2809,39.7958,2.6509,18.5147,8.6982,5.4898,6.4398,6.2501,1584.5,728.5,-30.0,-1313.5,-3763.5,7736.822155979368,-771.9791469123809,-3460.296073260606,-115.07269122081286,-9.27797070515859,-0.9052898909877664,76.99999999999999,7736.822155979368,-771.9791469123809,-3460.296073260606,-115.07269122081286,-9.27797070515859,-0.9052898909877664,76.99999999999999,-661.9431892525562,5368.075172503567,5940.666638508215,46.694035712114186,63.10419561961621,8.538425646841892,1624.2070441265112,-661.9431892525562,5368.075172503567,5940.666638508215,46.694035712114186,63.10419561961621,8.538425646841892,1624.2070441265112
